,Store,regions_observed,mapped_region
64031,477,"BW, BY, HE, NW, RP, SL",BY
64039,485,"BW, BY, HE, NW, RP, SL",BY
64044,490,"BW, BY, HE, NW, RP, SL",BY
64046,492,"BW, BY, HE, NW, RP, SL",BY
64052,498,"BW, BY, HE, NW, RP, SL",BY
64054,500,"BW, BY, HE, NW, RP, SL",BY
64055,501,"BW, BY, HE, NW, RP, SL",BY
64066,512,"BW, BY, HE, NW, RP, SL",BY
64068,514,"BW, BY, HE, NW, RP, SL",BY
64072,518,"BW, BY, HE, NW, RP, SL",BY
64076,522,"BW, BY, HE, NW, RP, SL",BY
64088,534,"BW, BY, HE, NW, RP, SL",BY
64093,539,"BW, BY, HE, NW, RP, SL",BY
64094,540,"BW, BY, HE, NW, RP, SL",BY
64096,542,"BW, BY, HE, NW, RP, SL",BY
64101,547,"BW, BY, HE, NW, RP, SL",BY
64109,555,"BW, BY, HE, NW, RP, SL",BY
64125,571,"BW, BY, HE, NW, RP, SL",BY
64127,573,"BW, BY, HE, NW, RP, SL",BY
64129,575,"BW, BY, HE, NW, RP, SL",BY
64141,587,"BW, BY, HE, NW, RP, SL",BY
64152,598,"BW, BY, HE, NW, RP, SL",BY
64158,604,"BW, BY, HE, NW, RP, SL",BY
64165,611,"BW, BY, HE, NW, RP, SL",BY
64166,612,"BW, BY, HE, NW, RP, SL",BY
64173,619,"BW, BY, HE, NW, RP, SL",BY
64174,620,"BW, BY, HE, NW, RP, SL",BY
64183,629,"BW, BY, HE, NW, RP, SL",BY
64187,633,"BW, BY, HE, NW, RP, SL",BY
64190,636,"BW, BY, HE, NW, RP, SL",BY
64191,637,"BW, BY, HE, NW, RP, SL",BY
64192,638,"BW, BY, HE, NW, RP, SL",BY
64198,644,"BW, BY, HE, NW, RP, SL",BY
64200,646,"BW, BY, HE, NW, RP, SL",BY
64204,650,"BW, BY, HE, NW, RP, SL",BY
64214,660,"BW, BY, HE, NW, RP, SL",BY
64223,669,"BW, BY, HE, NW, RP, SL",BY
64224,670,"BW, BY, HE, NW, RP, SL",BY
64225,671,"BW, BY, HE, NW, RP, SL",BY
64231,677,"BW, BY, HE, NW, RP, SL",BY
64238,684,"BW, BY, HE, NW, RP, SL",BY
64248,694,"BW, BY, HE, NW, RP, SL",BY
64255,701,"BW, BY, HE, NW, RP, SL",BY
64256,702,"BW, BY, HE, NW, RP, SL",BY
64260,706,"BW, BY, HE, NW, RP, SL",BY
64264,710,"BW, BY, HE, NW, RP, SL",BY
64265,711,"BW, BY, HE, NW, RP, SL",BY
64266,712,"BW, BY, HE, NW, RP, SL",BY
64270,716,"BW, BY, HE, NW, RP, SL",BY
64273,719,"BW, BY, HE, NW, RP, SL",BY
64290,736,"BW, BY, HE, NW, RP, SL",BY
64293,739,"BW, BY, HE, NW, RP, SL",BY
64298,744,"BW, BY, HE, NW, RP, SL",BY
64304,750,"BW, BY, HE, NW, RP, SL",BY
64320,766,"BW, BY, HE, NW, RP, SL",BY
64325,771,"BW, BY, HE, NW, RP, SL",BY
64329,775,"BW, BY, HE, NW, RP, SL",BY
64332,778,"BW, BY, HE, NW, RP, SL",BY
64351,797,"BW, BY, HE, NW, RP, SL",BY
64358,804,"BW, BY, HE, NW, RP, SL",BY
64359,805,"BW, BY, HE, NW, RP, SL",BY
64360,806,"BW, BY, HE, NW, RP, SL",BY
64369,815,"BW, BY, HE, NW, RP, SL",BY
64374,820,"BW, BY, HE, NW, RP, SL",BY
64379,825,"BW, BY, HE, NW, RP, SL",BY
64396,842,"BW, BY, HE, NW, RP, SL",BY
64405,851,"BW, BY, HE, NW, RP, SL",BY
64412,858,"BW, BY, HE, NW, RP, SL",BY
64413,859,"BW, BY, HE, NW, RP, SL",BY
64433,879,"BW, BY, HE, NW, RP, SL",BY
64438,884,"BW, BY, HE, NW, RP, SL",BY
64444,890,"BW, BY, HE, NW, RP, SL",BY
64447,893,"BW, BY, HE, NW, RP, SL",BY
64454,900,"BW, BY, HE, NW, RP, SL",BY
64456,902,"BW, BY, HE, NW, RP, SL",BY
64457,903,"BW, BY, HE, NW, RP, SL",BY
64458,904,"BW, BY, HE, NW, RP, SL",BY
64463,909,"BW, BY, HE, NW, RP, SL",BY
64469,915,"BW, BY, HE, NW, RP, SL",BY
64473,919,"BW, BY, HE, NW, RP, SL",BY
64474,920,"BW, BY, HE, NW, RP, SL",BY
64486,932,"BW, BY, HE, NW, RP, SL",BY
64495,941,"BW, BY, HE, NW, RP, SL",BY
64506,952,"BW, BY, HE, NW, RP, SL",BY
64528,974,"BW, BY, HE, NW, RP, SL",BY
64531,977,"BW, BY, HE, NW, RP, SL",BY
64543,989,"BW, BY, HE, NW, RP, SL",BY
64554,1000,"BW, BY, HE, NW, RP, SL",BY
64558,1004,"BW, BY, HE, NW, RP, SL",BY
64563,1009,"BW, BY, HE, NW, RP, SL",BY
64566,1012,"BW, BY, HE, NW, RP, SL",BY
64573,1019,"BW, BY, HE, NW, RP, SL",BY
64581,1027,"BW, BY, HE, NW, RP, SL",BY
64592,1038,"BW, BY, HE, NW, RP, SL",BY
64595,1041,"BW, BY, HE, NW, RP, SL",BY
64603,1049,"BW, BY, HE, NW, RP, SL",BY
64610,1056,"BW, BY, HE, NW, RP, SL",BY
64619,1065,"BW, BY, HE, NW, RP, SL",BY
64621,1067,"BW, BY, HE, NW, RP, SL",BY
64634,1080,"BW, BY, HE, NW, RP, SL",BY
64646,1092,"BW, BY, HE, NW, RP, SL",BY
64648,1094,"BW, BY, HE, NW, RP, SL",BY
64656,1102,"BW, BY, HE, NW, RP, SL",BY
64658,1104,"BW, BY, HE, NW, RP, SL",BY
64661,1107,"BW, BY, HE, NW, RP, SL",BY
64663,1109,"BW, BY, HE, NW, RP, SL",BY
229702,13,"BW, BY, ST",BY
229709,20,"BW, BY, ST",BY
229711,22,"BW, BY, ST",BY
229721,32,"BW, BY, ST",BY
229725,36,"BW, BY, ST",BY
229730,41,"BW, BY, ST",BY
229735,46,"BW, BY, ST",BY
229740,51,"BW, BY, ST",BY
229741,52,"BW, BY, ST",BY
229747,58,"BW, BY, ST",BY
229761,72,"BW, BY, ST",BY
229765,76,"BW, BY, ST",BY
229770,81,"BW, BY, ST",BY
229778,89,"BW, BY, ST",BY
229788,99,"BW, BY, ST",BY
229789,100,"BW, BY, ST",BY
229797,108,"BW, BY, ST",BY
229802,113,"BW, BY, ST",BY
229804,115,"BW, BY, ST",BY
229816,127,"BW, BY, ST",BY
229818,129,"BW, BY, ST",BY
229821,132,"BW, BY, ST",BY
229825,136,"BW, BY, ST",BY
229826,137,"BW, BY, ST",BY
229828,139,"BW, BY, ST",BY
229833,144,"BW, BY, ST",BY
229834,145,"BW, BY, ST",BY
229838,149,"BW, BY, ST",BY
229844,155,"BW, BY, ST",BY
229848,159,"BW, BY, ST",BY
229853,164,"BW, BY, ST",BY
229854,165,"BW, BY, ST",BY
229861,172,"BW, BY, ST",BY
229863,174,"BW, BY, ST",BY
229870,181,"BW, BY, ST",BY
229872,183,"BW, BY, ST",BY
229875,186,"BW, BY, ST",BY
229879,190,"BW, BY, ST",BY
229880,191,"BW, BY, ST",BY
229881,192,"BW, BY, ST",BY
229893,204,"BW, BY, ST",BY
229904,215,"BW, BY, ST",BY
229907,218,"BW, BY, ST",BY
229920,231,"BW, BY, ST",BY
229932,243,"BW, BY, ST",BY
229947,258,"BW, BY, ST",BY
229952,263,"BW, BY, ST",BY
229964,275,"BW, BY, ST",BY
229966,277,"BW, BY, ST",BY
229968,279,"BW, BY, ST",BY
229972,283,"BW, BY, ST",BY
229973,284,"BW, BY, ST",BY
229976,287,"BW, BY, ST",BY
229977,288,"BW, BY, ST",BY
229987,298,"BW, BY, ST",BY
229995,306,"BW, BY, ST",BY
230006,317,"BW, BY, ST",BY
230031,342,"BW, BY, ST",BY
230034,345,"BW, BY, ST",BY
230037,348,"BW, BY, ST",BY
230054,365,"BW, BY, ST",BY
230074,385,"BW, BY, ST",BY
230088,399,"BW, BY, ST",BY
230096,407,"BW, BY, ST",BY
230101,412,"BW, BY, ST",BY
230102,413,"BW, BY, ST",BY
230109,420,"BW, BY, ST",BY
230116,427,"BW, BY, ST",BY
230117,428,"BW, BY, ST",BY
230118,429,"BW, BY, ST",BY
230119,430,"BW, BY, ST",BY
230123,434,"BW, BY, ST",BY
230146,457,"BW, BY, ST",BY
230160,471,"BW, BY, ST",BY
230166,477,"BW, BY, ST",BY
230174,485,"BW, BY, ST",BY
230179,490,"BW, BY, ST",BY
230181,492,"BW, BY, ST",BY
230187,498,"BW, BY, ST",BY
230189,500,"BW, BY, ST",BY
230190,501,"BW, BY, ST",BY
230201,512,"BW, BY, ST",BY
230203,514,"BW, BY, ST",BY
230207,518,"BW, BY, ST",BY
230211,522,"BW, BY, ST",BY
230223,534,"BW, BY, ST",BY
230228,539,"BW, BY, ST",BY
230229,540,"BW, BY, ST",BY
230231,542,"BW, BY, ST",BY
230236,547,"BW, BY, ST",BY
230244,555,"BW, BY, ST",BY
230260,571,"BW, BY, ST",BY
230262,573,"BW, BY, ST",BY
230264,575,"BW, BY, ST",BY
230276,587,"BW, BY, ST",BY
230287,598,"BW, BY, ST",BY
230293,604,"BW, BY, ST",BY
230300,611,"BW, BY, ST",BY
230301,612,"BW, BY, ST",BY
230308,619,"BW, BY, ST",BY
230309,620,"BW, BY, ST",BY
230318,629,"BW, BY, ST",BY
230322,633,"BW, BY, ST",BY
230325,636,"BW, BY, ST",BY
230326,637,"BW, BY, ST",BY
230327,638,"BW, BY, ST",BY
230333,644,"BW, BY, ST",BY
230335,646,"BW, BY, ST",BY
230339,650,"BW, BY, ST",BY
230349,660,"BW, BY, ST",BY
230358,669,"BW, BY, ST",BY
230359,670,"BW, BY, ST",BY
230360,671,"BW, BY, ST",BY
230366,677,"BW, BY, ST",BY
230373,684,"BW, BY, ST",BY
230383,694,"BW, BY, ST",BY
230390,701,"BW, BY, ST",BY
230391,702,"BW, BY, ST",BY
230395,706,"BW, BY, ST",BY
230399,710,"BW, BY, ST",BY
230400,711,"BW, BY, ST",BY
230401,712,"BW, BY, ST",BY
230405,716,"BW, BY, ST",BY
230408,719,"BW, BY, ST",BY
230425,736,"BW, BY, ST",BY
230428,739,"BW, BY, ST",BY
230433,744,"BW, BY, ST",BY
230439,750,"BW, BY, ST",BY
230455,766,"BW, BY, ST",BY
230460,771,"BW, BY, ST",BY
230464,775,"BW, BY, ST",BY
230467,778,"BW, BY, ST",BY
230486,797,"BW, BY, ST",BY
230493,804,"BW, BY, ST",BY
230494,805,"BW, BY, ST",BY
230495,806,"BW, BY, ST",BY
230504,815,"BW, BY, ST",BY
230509,820,"BW, BY, ST",BY
230514,825,"BW, BY, ST",BY
230531,842,"BW, BY, ST",BY
230540,851,"BW, BY, ST",BY
230547,858,"BW, BY, ST",BY
230548,859,"BW, BY, ST",BY
230568,879,"BW, BY, ST",BY
230573,884,"BW, BY, ST",BY
230579,890,"BW, BY, ST",BY
230582,893,"BW, BY, ST",BY
230589,900,"BW, BY, ST",BY
230591,902,"BW, BY, ST",BY
230592,903,"BW, BY, ST",BY
230593,904,"BW, BY, ST",BY
230598,909,"BW, BY, ST",BY
230604,915,"BW, BY, ST",BY
230608,919,"BW, BY, ST",BY
230609,920,"BW, BY, ST",BY
230621,932,"BW, BY, ST",BY
230630,941,"BW, BY, ST",BY
230641,952,"BW, BY, ST",BY
230663,974,"BW, BY, ST",BY
230666,977,"BW, BY, ST",BY
230678,989,"BW, BY, ST",BY
230689,1000,"BW, BY, ST",BY
230693,1004,"BW, BY, ST",BY
230698,1009,"BW, BY, ST",BY
230701,1012,"BW, BY, ST",BY
230708,1019,"BW, BY, ST",BY
230716,1027,"BW, BY, ST",BY
230727,1038,"BW, BY, ST",BY
230730,1041,"BW, BY, ST",BY
230738,1049,"BW, BY, ST",BY
230745,1056,"BW, BY, ST",BY
230754,1065,"BW, BY, ST",BY
230756,1067,"BW, BY, ST",BY
230769,1080,"BW, BY, ST",BY
230781,1092,"BW, BY, ST",BY
230783,1094,"BW, BY, ST",BY
230791,1102,"BW, BY, ST",BY
230793,1104,"BW, BY, ST",BY
230796,1107,"BW, BY, ST",BY
230798,1109,"BW, BY, ST",BY
677147,13,"BW, BY, NW, RP, SL",BY
677154,20,"BW, BY, NW, RP, SL",BY
677156,22,"BW, BY, NW, RP, SL",BY
677166,32,"BW, BY, NW, RP, SL",BY
677170,36,"BW, BY, NW, RP, SL",BY
677175,41,"BW, BY, NW, RP, SL",BY
677180,46,"BW, BY, NW, RP, SL",BY
677185,51,"BW, BY, NW, RP, SL",BY
677186,52,"BW, BY, NW, RP, SL",BY
677192,58,"BW, BY, NW, RP, SL",BY
677206,72,"BW, BY, NW, RP, SL",BY
677210,76,"BW, BY, NW, RP, SL",BY
677215,81,"BW, BY, NW, RP, SL",BY
677223,89,"BW, BY, NW, RP, SL",BY
677233,99,"BW, BY, NW, RP, SL",BY
677234,100,"BW, BY, NW, RP, SL",BY
677242,108,"BW, BY, NW, RP, SL",BY
677247,113,"BW, BY, NW, RP, SL",BY
677249,115,"BW, BY, NW, RP, SL",BY
677261,127,"BW, BY, NW, RP, SL",BY
677263,129,"BW, BY, NW, RP, SL",BY
677266,132,"BW, BY, NW, RP, SL",BY
677270,136,"BW, BY, NW, RP, SL",BY
677271,137,"BW, BY, NW, RP, SL",BY
677273,139,"BW, BY, NW, RP, SL",BY
677278,144,"BW, BY, NW, RP, SL",BY
677279,145,"BW, BY, NW, RP, SL",BY
677283,149,"BW, BY, NW, RP, SL",BY
677289,155,"BW, BY, NW, RP, SL",BY
677293,159,"BW, BY, NW, RP, SL",BY
677298,164,"BW, BY, NW, RP, SL",BY
677299,165,"BW, BY, NW, RP, SL",BY
677306,172,"BW, BY, NW, RP, SL",BY
677308,174,"BW, BY, NW, RP, SL",BY
677315,181,"BW, BY, NW, RP, SL",BY
677317,183,"BW, BY, NW, RP, SL",BY
677320,186,"BW, BY, NW, RP, SL",BY
677324,190,"BW, BY, NW, RP, SL",BY
677325,191,"BW, BY, NW, RP, SL",BY
677326,192,"BW, BY, NW, RP, SL",BY
677338,204,"BW, BY, NW, RP, SL",BY
677349,215,"BW, BY, NW, RP, SL",BY
677352,218,"BW, BY, NW, RP, SL",BY
677365,231,"BW, BY, NW, RP, SL",BY
677377,243,"BW, BY, NW, RP, SL",BY
677392,258,"BW, BY, NW, RP, SL",BY
677397,263,"BW, BY, NW, RP, SL",BY
677409,275,"BW, BY, NW, RP, SL",BY
677411,277,"BW, BY, NW, RP, SL",BY
677413,279,"BW, BY, NW, RP, SL",BY
677417,283,"BW, BY, NW, RP, SL",BY
677418,284,"BW, BY, NW, RP, SL",BY
677421,287,"BW, BY, NW, RP, SL",BY
677422,288,"BW, BY, NW, RP, SL",BY
677432,298,"BW, BY, NW, RP, SL",BY
677440,306,"BW, BY, NW, RP, SL",BY
677451,317,"BW, BY, NW, RP, SL",BY
677476,342,"BW, BY, NW, RP, SL",BY
677479,345,"BW, BY, NW, RP, SL",BY
677482,348,"BW, BY, NW, RP, SL",BY
677499,365,"BW, BY, NW, RP, SL",BY
677519,385,"BW, BY, NW, RP, SL",BY
677533,399,"BW, BY, NW, RP, SL",BY
677541,407,"BW, BY, NW, RP, SL",BY
677546,412,"BW, BY, NW, RP, SL",BY
677547,413,"BW, BY, NW, RP, SL",BY
677554,420,"BW, BY, NW, RP, SL",BY
677561,427,"BW, BY, NW, RP, SL",BY
677562,428,"BW, BY, NW, RP, SL",BY
677563,429,"BW, BY, NW, RP, SL",BY
677564,430,"BW, BY, NW, RP, SL",BY
677568,434,"BW, BY, NW, RP, SL",BY
677591,457,"BW, BY, NW, RP, SL",BY
677605,471,"BW, BY, NW, RP, SL",BY
677611,477,"BW, BY, NW, RP, SL",BY
677619,485,"BW, BY, NW, RP, SL",BY
677624,490,"BW, BY, NW, RP, SL",BY
677626,492,"BW, BY, NW, RP, SL",BY
677632,498,"BW, BY, NW, RP, SL",BY
677634,500,"BW, BY, NW, RP, SL",BY
677635,501,"BW, BY, NW, RP, SL",BY
677646,512,"BW, BY, NW, RP, SL",BY
677648,514,"BW, BY, NW, RP, SL",BY
677652,518,"BW, BY, NW, RP, SL",BY
677656,522,"BW, BY, NW, RP, SL",BY
677668,534,"BW, BY, NW, RP, SL",BY
677673,539,"BW, BY, NW, RP, SL",BY
677674,540,"BW, BY, NW, RP, SL",BY
677676,542,"BW, BY, NW, RP, SL",BY
677681,547,"BW, BY, NW, RP, SL",BY
677689,555,"BW, BY, NW, RP, SL",BY
677705,571,"BW, BY, NW, RP, SL",BY
677707,573,"BW, BY, NW, RP, SL",BY
677709,575,"BW, BY, NW, RP, SL",BY
677721,587,"BW, BY, NW, RP, SL",BY
677732,598,"BW, BY, NW, RP, SL",BY
677738,604,"BW, BY, NW, RP, SL",BY
677745,611,"BW, BY, NW, RP, SL",BY
677746,612,"BW, BY, NW, RP, SL",BY
677753,619,"BW, BY, NW, RP, SL",BY
677754,620,"BW, BY, NW, RP, SL",BY
677763,629,"BW, BY, NW, RP, SL",BY
677767,633,"BW, BY, NW, RP, SL",BY
677770,636,"BW, BY, NW, RP, SL",BY
677771,637,"BW, BY, NW, RP, SL",BY
677772,638,"BW, BY, NW, RP, SL",BY
677778,644,"BW, BY, NW, RP, SL",BY
677780,646,"BW, BY, NW, RP, SL",BY
677784,650,"BW, BY, NW, RP, SL",BY
677794,660,"BW, BY, NW, RP, SL",BY
677803,669,"BW, BY, NW, RP, SL",BY
677804,670,"BW, BY, NW, RP, SL",BY
677805,671,"BW, BY, NW, RP, SL",BY
677811,677,"BW, BY, NW, RP, SL",BY
677818,684,"BW, BY, NW, RP, SL",BY
677828,694,"BW, BY, NW, RP, SL",BY
677835,701,"BW, BY, NW, RP, SL",BY
677836,702,"BW, BY, NW, RP, SL",BY
677840,706,"BW, BY, NW, RP, SL",BY
677844,710,"BW, BY, NW, RP, SL",BY
677845,711,"BW, BY, NW, RP, SL",BY
677846,712,"BW, BY, NW, RP, SL",BY
677850,716,"BW, BY, NW, RP, SL",BY
677853,719,"BW, BY, NW, RP, SL",BY
677870,736,"BW, BY, NW, RP, SL",BY
677873,739,"BW, BY, NW, RP, SL",BY
677878,744,"BW, BY, NW, RP, SL",BY
677884,750,"BW, BY, NW, RP, SL",BY
677900,766,"BW, BY, NW, RP, SL",BY
677905,771,"BW, BY, NW, RP, SL",BY
677909,775,"BW, BY, NW, RP, SL",BY
677912,778,"BW, BY, NW, RP, SL",BY
677931,797,"BW, BY, NW, RP, SL",BY
677938,804,"BW, BY, NW, RP, SL",BY
677939,805,"BW, BY, NW, RP, SL",BY
677940,806,"BW, BY, NW, RP, SL",BY
677949,815,"BW, BY, NW, RP, SL",BY
677954,820,"BW, BY, NW, RP, SL",BY
677959,825,"BW, BY, NW, RP, SL",BY
677976,842,"BW, BY, NW, RP, SL",BY
677985,851,"BW, BY, NW, RP, SL",BY
677992,858,"BW, BY, NW, RP, SL",BY
677993,859,"BW, BY, NW, RP, SL",BY
678013,879,"BW, BY, NW, RP, SL",BY
678018,884,"BW, BY, NW, RP, SL",BY
678024,890,"BW, BY, NW, RP, SL",BY
678027,893,"BW, BY, NW, RP, SL",BY
678034,900,"BW, BY, NW, RP, SL",BY
678036,902,"BW, BY, NW, RP, SL",BY
678037,903,"BW, BY, NW, RP, SL",BY
678038,904,"BW, BY, NW, RP, SL",BY
678043,909,"BW, BY, NW, RP, SL",BY
678049,915,"BW, BY, NW, RP, SL",BY
678053,919,"BW, BY, NW, RP, SL",BY
678054,920,"BW, BY, NW, RP, SL",BY
678066,932,"BW, BY, NW, RP, SL",BY
678075,941,"BW, BY, NW, RP, SL",BY
678086,952,"BW, BY, NW, RP, SL",BY
678108,974,"BW, BY, NW, RP, SL",BY
678111,977,"BW, BY, NW, RP, SL",BY
678123,989,"BW, BY, NW, RP, SL",BY
678134,1000,"BW, BY, NW, RP, SL",BY
678138,1004,"BW, BY, NW, RP, SL",BY
678143,1009,"BW, BY, NW, RP, SL",BY
678146,1012,"BW, BY, NW, RP, SL",BY
678153,1019,"BW, BY, NW, RP, SL",BY
678161,1027,"BW, BY, NW, RP, SL",BY
678172,1038,"BW, BY, NW, RP, SL",BY
678175,1041,"BW, BY, NW, RP, SL",BY
678183,1049,"BW, BY, NW, RP, SL",BY
678190,1056,"BW, BY, NW, RP, SL",BY
678199,1065,"BW, BY, NW, RP, SL",BY
678201,1067,"BW, BY, NW, RP, SL",BY
678214,1080,"BW, BY, NW, RP, SL",BY
678226,1092,"BW, BY, NW, RP, SL",BY
678228,1094,"BW, BY, NW, RP, SL",BY
678236,1102,"BW, BY, NW, RP, SL",BY
678238,1104,"BW, BY, NW, RP, SL",BY
678241,1107,"BW, BY, NW, RP, SL",BY
678243,1109,"BW, BY, NW, RP, SL",BY
764117,13,"BY, SL",BY
764124,20,"BY, SL",BY
764126,22,"BY, SL",BY
764136,32,"BY, SL",BY
764140,36,"BY, SL",BY
764145,41,"BY, SL",BY
764150,46,"BY, SL",BY
764155,51,"BY, SL",BY
764156,52,"BY, SL",BY
764162,58,"BY, SL",BY
764176,72,"BY, SL",BY
764180,76,"BY, SL",BY
764185,81,"BY, SL",BY
764193,89,"BY, SL",BY
764203,99,"BY, SL",BY
764204,100,"BY, SL",BY
764212,108,"BY, SL",BY
764217,113,"BY, SL",BY
764219,115,"BY, SL",BY
764231,127,"BY, SL",BY
764233,129,"BY, SL",BY
764236,132,"BY, SL",BY
764240,136,"BY, SL",BY
764241,137,"BY, SL",BY
764243,139,"BY, SL",BY
764248,144,"BY, SL",BY
764249,145,"BY, SL",BY
764253,149,"BY, SL",BY
764259,155,"BY, SL",BY
764263,159,"BY, SL",BY
764268,164,"BY, SL",BY
764269,165,"BY, SL",BY
764276,172,"BY, SL",BY
764278,174,"BY, SL",BY
764285,181,"BY, SL",BY
764287,183,"BY, SL",BY
764290,186,"BY, SL",BY
764294,190,"BY, SL",BY
764295,191,"BY, SL",BY
764296,192,"BY, SL",BY
764308,204,"BY, SL",BY
764319,215,"BY, SL",BY
764322,218,"BY, SL",BY
764335,231,"BY, SL",BY
764347,243,"BY, SL",BY
764362,258,"BY, SL",BY
764367,263,"BY, SL",BY
764379,275,"BY, SL",BY
764381,277,"BY, SL",BY
764383,279,"BY, SL",BY
764387,283,"BY, SL",BY
764388,284,"BY, SL",BY
764391,287,"BY, SL",BY
764392,288,"BY, SL",BY
764402,298,"BY, SL",BY
764410,306,"BY, SL",BY
764421,317,"BY, SL",BY
764446,342,"BY, SL",BY
764449,345,"BY, SL",BY
764452,348,"BY, SL",BY
764469,365,"BY, SL",BY
764489,385,"BY, SL",BY
764503,399,"BY, SL",BY
764511,407,"BY, SL",BY
764516,412,"BY, SL",BY
764517,413,"BY, SL",BY
764524,420,"BY, SL",BY
764531,427,"BY, SL",BY
764532,428,"BY, SL",BY
764533,429,"BY, SL",BY
764534,430,"BY, SL",BY
764538,434,"BY, SL",BY
764561,457,"BY, SL",BY
764575,471,"BY, SL",BY
764581,477,"BY, SL",BY
764589,485,"BY, SL",BY
764594,490,"BY, SL",BY
764596,492,"BY, SL",BY
764602,498,"BY, SL",BY
764604,500,"BY, SL",BY
764605,501,"BY, SL",BY
764616,512,"BY, SL",BY
764618,514,"BY, SL",BY
764622,518,"BY, SL",BY
764626,522,"BY, SL",BY
764638,534,"BY, SL",BY
764643,539,"BY, SL",BY
764644,540,"BY, SL",BY
764646,542,"BY, SL",BY
764651,547,"BY, SL",BY
764659,555,"BY, SL",BY
764675,571,"BY, SL",BY
764677,573,"BY, SL",BY
764679,575,"BY, SL",BY
764691,587,"BY, SL",BY
764702,598,"BY, SL",BY
764708,604,"BY, SL",BY
764715,611,"BY, SL",BY
764716,612,"BY, SL",BY
764723,619,"BY, SL",BY
764724,620,"BY, SL",BY
764733,629,"BY, SL",BY
764737,633,"BY, SL",BY
764740,636,"BY, SL",BY
764741,637,"BY, SL",BY
764742,638,"BY, SL",BY
764748,644,"BY, SL",BY
764750,646,"BY, SL",BY
764754,650,"BY, SL",BY
764764,660,"BY, SL",BY
764773,669,"BY, SL",BY
764774,670,"BY, SL",BY
764775,671,"BY, SL",BY
764781,677,"BY, SL",BY
764788,684,"BY, SL",BY
764798,694,"BY, SL",BY
764805,701,"BY, SL",BY
764806,702,"BY, SL",BY
764810,706,"BY, SL",BY
764814,710,"BY, SL",BY
764815,711,"BY, SL",BY
764816,712,"BY, SL",BY
764820,716,"BY, SL",BY
764823,719,"BY, SL",BY
764840,736,"BY, SL",BY
764843,739,"BY, SL",BY
764848,744,"BY, SL",BY
764854,750,"BY, SL",BY
764870,766,"BY, SL",BY
764875,771,"BY, SL",BY
764879,775,"BY, SL",BY
764882,778,"BY, SL",BY
764901,797,"BY, SL",BY
764908,804,"BY, SL",BY
764909,805,"BY, SL",BY
764910,806,"BY, SL",BY
764919,815,"BY, SL",BY
764924,820,"BY, SL",BY
764929,825,"BY, SL",BY
764946,842,"BY, SL",BY
764955,851,"BY, SL",BY
764962,858,"BY, SL",BY
764963,859,"BY, SL",BY
764983,879,"BY, SL",BY
764988,884,"BY, SL",BY
764994,890,"BY, SL",BY
764997,893,"BY, SL",BY
765004,900,"BY, SL",BY
765006,902,"BY, SL",BY
765007,903,"BY, SL",BY
765008,904,"BY, SL",BY
765013,909,"BY, SL",BY
765019,915,"BY, SL",BY
765023,919,"BY, SL",BY
765024,920,"BY, SL",BY
765036,932,"BY, SL",BY
765045,941,"BY, SL",BY
765056,952,"BY, SL",BY
765078,974,"BY, SL",BY
765081,977,"BY, SL",BY
765093,989,"BY, SL",BY
765104,1000,"BY, SL",BY
765108,1004,"BY, SL",BY
765113,1009,"BY, SL",BY
765116,1012,"BY, SL",BY
765123,1019,"BY, SL",BY
765131,1027,"BY, SL",BY
765142,1038,"BY, SL",BY
765145,1041,"BY, SL",BY
765153,1049,"BY, SL",BY
765160,1056,"BY, SL",BY
765169,1065,"BY, SL",BY
765171,1067,"BY, SL",BY
765184,1080,"BY, SL",BY
765196,1092,"BY, SL",BY
765198,1094,"BY, SL",BY
765206,1102,"BY, SL",BY
765208,1104,"BY, SL",BY
765211,1107,"BY, SL",BY
765213,1109,"BY, SL",BY
63555,1,"BW, BY, HE, NW, RP, SL",HE
63559,5,"BW, BY, HE, NW, RP, SL",HE
63560,6,"BW, BY, HE, NW, RP, SL",HE
63609,55,"BW, BY, HE, NW, RP, SL",HE
63610,56,"BW, BY, HE, NW, RP, SL",HE
63611,57,"BW, BY, HE, NW, RP, SL",HE
63614,60,"BW, BY, HE, NW, RP, SL",HE
63623,69,"BW, BY, HE, NW, RP, SL",HE
63631,77,"BW, BY, HE, NW, RP, SL",HE
63649,95,"BW, BY, HE, NW, RP, SL",HE
63650,96,"BW, BY, HE, NW, RP, SL",HE
63651,97,"BW, BY, HE, NW, RP, SL",HE
63665,111,"BW, BY, HE, NW, RP, SL",HE
63674,120,"BW, BY, HE, NW, RP, SL",HE
63675,121,"BW, BY, HE, NW, RP, SL",HE
63682,128,"BW, BY, HE, NW, RP, SL",HE
63684,130,"BW, BY, HE, NW, RP, SL",HE
63689,135,"BW, BY, HE, NW, RP, SL",HE
63692,138,"BW, BY, HE, NW, RP, SL",HE
63694,140,"BW, BY, HE, NW, RP, SL",HE
63708,154,"BW, BY, HE, NW, RP, SL",HE
63714,160,"BW, BY, HE, NW, RP, SL",HE
63716,162,"BW, BY, HE, NW, RP, SL",HE
63732,178,"BW, BY, HE, NW, RP, SL",HE
63736,182,"BW, BY, HE, NW, RP, SL",HE
63756,202,"BW, BY, HE, NW, RP, SL",HE
63780,226,"BW, BY, HE, NW, RP, SL",HE
63787,233,"BW, BY, HE, NW, RP, SL",HE
63789,235,"BW, BY, HE, NW, RP, SL",HE
